nodo,pagerank,in_degree,out_degree,hits_hub,hits_authority,betweenness,closeness
20706,0.0005751844483676219,3,3,4.964733676719697e-21,1.145940460344049e-20,0.0,0.0015007503751875938
21153,8.64439217488278e-05,0,0,-0.0,-1.0742187960262697e-19,0.0,0.0
21204,8.64439217488278e-05,0,13,1.3437459421669059e-06,7.843819780226025e-20,0.0,0.0
21291,0.0005190554807688308,60,43,3.2093014857339787e-06,3.722509487292807e-06,1.9135914983668295e-05,0.11023316357150677
21320,8.64439217488278e-05,0,1,9.059840615828295e-06,1.5543881339014764e-19,0.0,0.0
21362,0.00013370237053562877,8,30,1.057293676667711e-08,1.584112249733547e-09,1.8195446792098057e-06,0.09697556438728343
21519,0.0004874104068171818,14,15,1.1141762600244154e-06,4.630224771367495e-07,0.0037151713633564332,0.14696316443264704
21613,0.00032911779193540416,47,61,0.009220216371392235,0.00816981608676307,2.3676257734916564e-05,0.08394138923425708
22015,0.00023631675155485617,1,1,7.760113379586292e-22,1.3575774124954011e-18,0.0,0.008841021818098592
22272,0.00023268665828418035,6,17,1.3855848235331562e-06,1.3120287580913842e-07,0.00011397171331305065,0.11742340746472095
22464,0.00014873205190222283,3,3,1.0419364307970645e-06,4.637689303573794e-08,0.00039452280491243116,0.13847774283747666
22621,0.0007890212826700388,11,11,6.391144956177558e-09,2.2220957176319957e-08,0.0,0.13756420082865328
22794,0.000575184448367622,4,4,9.181704231618223e-21,6.3401546600872575e-19,0.0,0.002001000500250125
22824,0.00022748406135168702,15,29,1.5911101578778968e-08,4.746821797541338e-09,3.744808889316627e-05,0.11729497561280641
23038,0.00011720677698099876,3,6,1.088265856786439e-06,6.326046963405036e-08,2.879317536646201e-06,0.0037693265237269797
23156,0.00022932136583739653,2,22,1.490091249452989e-06,2.393024020290527e-08,0.0003382820651789167,0.12078645919902832
23169,9.40584001882988e-05,2,21,3.231006192631668e-09,1.2458035478078995e-10,0.0,0.0010005002501250625
23192,0.000764290383212318,14,16,5.676108492635216e-08,4.801317569719947e-08,0.0004399248289003551,0.13901626739295575
23360,8.64439217488278e-05,0,5,1.0852039131821673e-06,-9.911338337498138e-21,0.0,0.0
23368,8.64439217488278e-05,0,0,-0.0,-5.0446069174911766e-20,0.0,0.0
23957,0.0006755435540184659,4,4,5.54547638227078e-16,5.019793145294546e-12,2.9919864837323567e-05,0.009261773744014863
24057,0.00014936064344096817,20,44,0.005431602390319758,0.002116664188636926,6.709037267873857e-08,0.07417864070375109
24304,0.0005751844483676223,29,29,1.3135419498854406e-18,3.575688540839053e-18,0.0,0.014507253626813406
24541,0.0003151604542506189,24,27,1.283456878175825e-06,5.99998004516978e-07,9.480124537653301e-06,0.018009004502251125
